id,filename,source_url,language,pages,bytes,text_bytes,pdf_class,content,rights_status,sha256
1,01_ru_fundament_svai_rostverk_plita.pdf,https://www.domasv.ru/proektirovanie/fun.pdf,ru,13,5011004,303703,born_digital_complex,"Индивидуальный дом; сваи, ростверк, плита, спецификации","Публично доступен; использовать приватно, лицензия на распространение не подтверждена",dcd853f0032b3abf0c02a304af5a6c5c4372216916c87a82eb87a081a74caaee
2,02_ru_fundament_plita_rebra.pdf,https://nwst.ru/f/razdel_kzh_fundamenta.pdf,ru,10,713914,69795,born_digital_text,"Жилой дом; фундаментная плита с рёбрами, бетон и арматура","Публично доступен; использовать приватно, лицензия на распространение не подтверждена",2983d194919fc4f3bc5bc2db6b28e9ef00b04e25d287790b2e172ae1da7bb615
3,03_en_structural_drawings_dbsa.pdf,https://www.dbsa.org/sites/default/files/media/documents/2022-09/CIVIL%20STRUCTURAL%20ENGINEERS%20DRAWINGS.pdf,en,13,6274551,3940101,born_digital_complex,"Официальный комплект конструктивных чертежей DBSA","Официально опубликован; использовать приватно, лицензия на распространение не подтверждена",1ff91aba000d112d74771068530031a93871a604dc6f7ba2bc122fc37e5fc6f4
4,04_en_steel_strengthening_enabel.pdf,https://www.enabel.be/app/uploads/2023/01/Annex-II-Drawings.pdf,en,4,1194424,24574,born_digital_text,"Усиление стальных конструкций и узлы","Официально опубликован; использовать приватно, лицензия на распространение не подтверждена",2afcd0d24a91953e492c3c18a372d4a0d84156625b887a1c9203746d97136b97
5,05_en_southern_farmhouse_drawing_set.pdf,https://www.freefarmhouse.com/uploads/b/244cd9c0-4894-11ea-8aad-9b21e8eb84db/Southern%20Farmhouse%20-%20Drawing%20Set%20-%20Jay%20Osborne%202023-02-01.pdf,en,32,4388362,820671,born_digital_complex,"Полный архитектурный комплект Southern Farmhouse","Сайт объявляет проект open-source; перед распространением проверить точную лицензию и атрибуцию",de7c242d5ed7bb68588451561bf887c3024ab693490239bb8e109a7464c52830
6,06_en_fema_safe_room_plans.pdf,https://www.fema.gov/sites/default/files/documents/fema_rsl_fema-p-320-taking-shelter-from-the-storm_042025.pdf,en,89,8137075,389676,mixed_manual_drawings,"FEMA P-320; руководство и строительные планы защитных помещений","Большая часть FEMA.gov свободна от copyright; отдельные вставки могут иметь собственные права",28becda755ca26869ea00e13fd972194a7b0edea65c1ab775362f5279cd54680
7,07_en_american_farmhouse_open_source.pdf,https://www.freefarmhouse.com/uploads/b/244cd9c0-4894-11ea-8aad-9b21e8eb84db/American%20Farmhouse%20201225%20full.pdf,en,25,1396004,1265495,born_digital_complex,"Полный архитектурный комплект American Farmhouse","Open-source / Creative Commons Attribution-ShareAlike по материалам автора; сохранить атрибуцию",4c013e0b5eef5dcf158946fdaafba0497dc9e9043be0ca5f6b18fd157149e2af
8,08_en_fema_safe_room_structural_details.pdf,https://www.fema.gov/sites/default/files/documents/fema_rsl_fema-p-361-safe-rooms-for-tornadoes-and-hurricanes_042025.pdf,en,274,30978196,674078,mixed_manual_drawings,"FEMA P-361; расчёты, таблицы и конструктивные детали защитных помещений","Большая часть FEMA.gov свободна от copyright; отдельные вставки могут иметь собственные права",438132132ca36ab751c564af53c63e7490003f4280900a460955756af9ddbca2
9,09_en_ndsu_expandable_farmhouse_7130.pdf,https://www.ag.ndsu.edu/aben-plans/7130.pdf,en,8,931191,8,image_scan_ocr,"Скан полного проекта расширяемого фермерского дома","Публично опубликован университетом; использовать приватно, лицензия на распространение не подтверждена",9ef548732a07df86700f797031760a6ca1ffd45a4579bf2ff56d05966f917e0a
10,10_en_ndsu_three_bedroom_house_7136.pdf,https://www.ag.ndsu.edu/aben-plans/7136.pdf,en,4,417523,4,image_scan_ocr,"Скан проекта трёхкомнатного дома","Публично опубликован университетом; использовать приватно, лицензия на распространение не подтверждена",d8e3057d7329b7c778d317acbdf395449afc3fb57c484d9c38fe8147fdc4eddd
11,11_en_ndsu_dairy_barn_5953.pdf,https://www.ag.ndsu.edu/aben-plans/5953.pdf,en,5,429348,5,image_scan_ocr,"Скан проекта молочного коровника на 50 стойл","Публично опубликован университетом; использовать приватно, лицензия на распространение не подтверждена",8d477162b70d7a1ba5a0a0d356ce711345ef351b9bbdb3853faac4c7b9af28f4
12,12_en_public_domain_house_plan_book_scan.pdf,https://upload.wikimedia.org/wikipedia/commons/4/4a/A_book_of_house_plans%3B_floor_plans_and_cost_data_of_original_designs_of_various_architectural_types%2C_of_which_full_working_drawings_and_specifications_are_available_%28IA_cu31924015413812%29.pdf,en,166,4862595,104505,scan_with_ocr,"Книга 1912 года с планами домов, площадями и стоимостями","Public domain в США по карточке Wikimedia Commons",b54704bc07c3d427666fc22a083f0f3e28f5b0395c59a33485709c47eb7fa31b
